name,party,age,status,kids,address,declaration,voting,text,person_donor_1,person_donor_2,person_donor_3,person_donor_4,person_donor_5,person_donor_6,person_related_1,person_related_2,person_related_3,person_related_4,person_related_5,person_related_6,,info,,,,,
בנימין נתניהו,הליכוד,65,נשוי,3,מעון ראש הממשלה בירושלים; בתים פרטיים בקיסריה ובירושלים,לא. הונו הוערך ב–2012 על כ–41 מיליון שקל,"התנגד לחשיפת תיקי המניות, נעדר משאר ההצבעות","ואולי, רק אולי, ביבי נתניהו סיפק לציבור הישראלי בדיוק את החזון שלו, את מה שהוא הבטיח לבוחריו, ובצורה מושלמת? אם ה'חזון' של נתניהו הוא למנוע הסכם עם הפלשתינאים, למנוע כל אפשרות של פינוי שטחים ולהמשיך את מפעל ההתנחלויות – הוא סיפק את הסחורה. אלא שבין אם הוא סיפק את הסחורה המדינית (ואולי גם הצבאית) ובין אם לא, בנימין נתניהו נכשל בכמעט כל דבר כלכלי וחברתי שמדינת ישראל נזקקה לו. זהו ציון 'נכשל' מסוג מיוחד. יש מי שמנסה, משתדל, ופשוט לא הולך לו. אבל לא אצל נתניהו: ה'נכשל' שלו הוא על כך שבכלל לא הגיע לכיתה, לא ישב בשיעורים, וכמובן שלא ניגש למבחן. בנרטיב של נתניהו על יאיר לפיד, שלטענתו ""נכשל בניהול הכלכלה ולכן פוטר"" יש הרבה רוע ומניפולציות. נתניהו תמרן את לפיד למשרד האוצר בדיוק לשם כך: כדי שייכשל ויאבד מנדטים - בין אם בחבלה אקטיבית ובין אם דרך אי התערבות ואי תמיכה - ובמדינת ישראל צריך את התמיכה הפעילה של ראש הממשלה כדי לעשות משהו. 
בדרכו להשגת מטרות פוליטיות הוא פגע, דיכא והוריד את רמת החיים ואת סיכוי הקידום של הרוב המוחלט של תושבי מדינת ישראל - ובאופן מיוחד את רמת החיים של הבוחרים שלו עצמו, שרבים מהם בני מעמד הביניים. מחירי הדיור זינקו בעת כהונתו בצורה מטורפת, כנראה שיא עולמי; יוקר המחיה עלה בעשרות סעיפים; כמעט כל הרפורמות שעלו על השולחן, החל מדו""ח טרכטנברג מ-2011 , דרך יוקר המחיה, ועד היוזמות הבודדות של יאיר לפיד – טורפדו. מחיר הגז? הדואופול הבנקאי? מחירי המזון? הסקטור הציבורי המושחת והלא-מתפקד? הפנסיה שלא תהיה כאשר הציבור יזדקק לה? נתניהו התרחק מכל הנושאים הללו. 
נתניהו בחר בנבצרות כלכלית-חברתית כדי לא להתלכלך במאבקים חברתיים ולא לפגוע בתדמיתו כ""מבוגר אחראי' בענייני ביטחון ומדינאות. אבל הספק מתגנב: אולי זה גם היה לו נוח על רקע קרבתו לטייקונים ובעלי הון שנהנים מהמציאות הקיימת? אחרת, מדוע פגש את נוחי דנקנר מספר פעמים בביתו (מלך הריכוזיות)? ואת יצחק תשובה (נסיך הגז)? ואולי אחרים? אם משהו בישראל חרד לעתידו הכלכלי, אינו יודע כיצד יגמור הפעם את החודש, מיואש ממחירי הדיור, או מתקשה להירדם בלילה כשהוא חושב על עתיד ילדיו, הכתובת המרכזית לתסכולים שלו צריכה להיות ראש הממשלה. הוא הרי היה המלך בשש השנים האחרונות. 
נתניהו עצמו אגב, פחות מוטרד מהעתיד הכלכלי. גם במהלך כהונתו לא וויתר על האפשרות להיות משקיע פיננסי ערני בעצמו. כפי שנחשף ב-TheMarker הוא ביקש (ונענה בשלילה) לשנות במהלך הקדנציה את הרכב תיק ההשקעות שלו, שחלקו או כולו מנוהל בחו״ל. לפי ""פורבס"", הונו עמד ב–2012 על כ–41 מיליון שקל. כ–48 אלף שקל שהוא משתכר בחודש, והתמלוגים משני ספריו, לא התפיחו את הונו בשנים האחרונות כפי שעשתה התייקרות מחירי הנדל""ן שהעלתה את ערכם של שני בתי פאר שבהם הוא מחזיק, ושל דירה נוספת, ככל הנראה, הנמצאת בריב ירושה. ערך הוילה הפרטית של בני משפחת נתניהו בקיסריה מוערך בכ-15 מיליון שקלים וערך דירת הגג הדו קומתית ברחוב עזה בירושלים מוערך בכ-8 מיליון שקלים. בנוסף לנתניהו ״נכסים שמושקעים בחו״ל במוסדות פיננסיים״ אותם אישר מבקר המדינה. נכס נוסף הינו חשבון בנק שפתח ראשת ממשלת ישראל במקלט מס באי ג'רזי - בתום הקדנציה הראשונה שלו. פעילות החשבון- לדברי נתניהו- הופסקה ב-2003.","קן אברמוביץ'/בעל קרן השקעות ויו""ר ידידי הליכוד בארצות הברית",משפחת פאליק/בעלת רשת חנויות דיוטי פרי גדולה בארצות הברית,ריצ׳רד היידמן/מייסד משרד עורכי דין גדול בוושינגטון,משפחת שוטנשטיין/מבעלי רשת האופנה אמריקן איגל,,,"ניר חפץ, ארי הרו ודוד שרן/יועצים בלשכה",דוד שמרון/פרקליטו האישי של נתניהו,חיים ביבס/יו״ר המרכז לשלטון מקומי/כיהן כראש המטה של נתניהו בבחירות לראשות המפלגה,"שלדון אדלסון/איל הימורים ומו""ל ""ישראל היום""",יצחק תשובה,נוחי דנקנר,,פרויקט השקיפות של TheMarker//בחירות 2015,<- כותרת ראשית,,,,http://www.haaretz.co.il/st/inter/resources/img/66/
גלעד ארדן,הליכוד,44,נשוי,3,"בית בסביון שנמכר תמורת 6.75 מיליון שקל; דירה ברמת אביב ששוויה מוערך ב–3 מיליון שקל
",לא,נעדר מכלל ההצבעות בנושא,"מאז שנחשף כי היה מעורב בקידום חוק האפודים הזוהרים, נמנע שר הפנים מלהיפגש עם לוביסטים. ארדן הוא גם חבר של האישים החזקים בליכוד ומקורביו משובצים בחברות ענק במשק, אך הוא נזהר שלא לקדם את ענייניהם או את אלו של לקוחות רעייתו, שלומית, שעוסקת בייעוץ משפטי לעסקות נדל״ן. הוא אפילו הקשיב לביקורת שנמתחה עליו ומכר את הווילה המפוארת בסביון שבה התגורר. נראה שגם בקדנציה הקרובה ארדן ינסה שלא להתלכלך או לקדם אינטרסים צרים, ולהתחבב כמה שיותר על הציבור הרחב. אחרי שוויתר על ההצעה לכהן כשגריר באו״ם, הוא מכוון גבוה. יום אחד, כך הוא מקווה, אולי אף יחליף את הפטרון נתניהו.
בכנסת האחרונה שימש כשר התקשורת ונכנס לנעליו הגדולות של כחלון, אביר הרפורמה בסלולר. בעקבותיו כנראה הבין ארדן כי הדרך הנכונה לבלוט בתפקיד היא לייצר ערך לציבור ולא כמו קודמיו של כחלון רק להתחבב על טייקונים. מיד בתחילת הקדנציה הציב ארדן את נושא רשות השידור בראש סדר העדיפויות שלו. מינה את ועדת לנדס ורמז כי בכוונתו לפרק את הרשות. ארדן גם חתום על רפורמה ענקית בדואר וכן על רפורמה גדולה בתקשורת הקווית - בפס הרחב. ארדן טיפל גם בנושא פיצול ערוץ 2 – אבל ברגע האמת בחר לנטוש את משרד התקשורת לטובת משרד הפנים, בדיוק כאשר נדרש שר שיקדם את ההחלטה בכנסת. נתניהו קבר את היוזמה למורת רוחו של ארדן. ארדן שתפס את המקום הראשון בפריימריס בליכוד שואף לכהן כשר האוצר בממשלה הבאה.",אייל בביוב/יהלומן,"עו""ד איתן ארז/כונס נכסים ומומחה בפירוקים",ארי קומרן/מנהל פיתוח עסקי ומנהל מרכז החדשנות באינטל,,,,"זוהר גושן/לשעבר יו""ר רשות ניירות ערך","חזי צאיג/יו""ר הדואר",חנוך דאום/עיתונאי,,,,,"מאת תומר אביטל, צבי זרחיה וכתבי TheMarker",<- כותרת משנית,,,,.jpg
מירי רגב,הליכוד,50,נשואה,3,בית בראש העין,לא,נעדרה מכלל ההצבעות בנושא,"רגב התברגה כאישה הראשונה ברשימת הליכוד ולא בטוח שהדבר משמח את יו""ר המפלגה, נתניהו, שמסתייג ממנה. פעילים חברתיים בכנסת משבחים את פעילותה הפרלמנטרית של רגב, ואכן נוכחותה במשכן דירגה אותה בצמרת הטבלה. אך מי נהנה מכך? בעיקר פעילי ליכוד ואנשי עסקים. רגב בלמה, למשל, חוק לאיסור חלוקה חינם של שקיות ניילון ברשתות המזון; כיו""ר ועדת הפנים היא הסתייגה מסעיפים ברפורמת ששינסקי, ואף הגנה על מונופול המלט נשר. היא ונוחי דנקנר חברים ""הרבה שנים"", כדבריה. לבני בריתה ברשויות המקומיות דאגה בקידום החוק למינוי סגני ראשי ערים נוספים ללא תשלום שכר. רגב ידועה בהתבטאויותיה המשתלחות (""הרצוג הוא חתרן בלתי נלאה"", ""המסתננים הם סרטן בגוף שלנו"") אך זוכה לאהדה ציבורית בקרב מצביעי מפלגתה. כפיים","צ׳רנה מוסקוביץ'/מנהלת קרן מוסקוביץ', רעיית איל ההון האמריקאי ארווינג מוסקוביץ'",משה חדיף/בעלי חברת נדל״ן,עזרא לאטי/בעלי חברת המזון מעדני הטלה,,,,"חיים ביבס/יו""ר השלטון המקומי",נוחי דנקנר/לשעבר בעל השליטה באי.די.בי,שמעון גפסו/ראש העיר נצרת עלית,,,,,,<- תמונה ראשית לשיתוף,,,,
ישראל כץ,הליכוד,59,נשוי,2,בית בכפר אחים,לא,נעדר מכלל ההצבעות בנושא,"אחד משני השרים הנאמנים ביותר לראש הממשלה, אם ישחק נכון בקלפיו והקלפי תאיר לליכוד פנים, כ""ץ עשוי לזכות בתפקיד שעליו הוא חולם בלילות: שר האוצר. שמו של כ""ץ אמנם נקשר בעבר למינויים פוליטיים ולפעילות פוליטית ענפה ככלל, אך במקביל פעל ב-6 השנים האחרונות להגברת התחרות בענפי התעופה, הרכב והנמלים - והוא חתום על רפורמת שמים פתוחים ועל המכרזים להקמת הנמלים הפרטיים.","רון ברנט/עו""ד/מתמחה בנדל""ן ובפרויקטים של פינוי בינוי",ברוך קרשטיין/בעלים של חברת אריזות,ניצה שטרית/מנהלת כפר נופש באשקלון,,,,"דוד ביטן/פעיל ליכוד, ממלא מקום ראש העיר ראשל""צ ומקום 21 ברשימת הליכוד לכנסת","אבינועם נובוגרוצקי/איש הייטק, לשעבר דירקטור במעצ","דוד בן בסט/מנכ""ל ובעלים של תחנות רדיו",,,,,,<- כותרת הסבר,,,,
יולי (יואל) אדלשטיין,הליכוד,56,אלמן,2,"דירת חמישה חדרים בגוש עציון. לדבריו אינו מחזיק בנדל""ן נוסף",לא,התנגד ונעדר לסרוגין,"יו""ר הכנסת ביקש להפוך את המשכן למקום ממלכתי ונגיש לציבור. בפועל הכנסת ביזתה את עצמה בתקופת כהונתו שוב ושוב, המליאה התרוקנה מחדש לאחר כמה חודשים ־ ומיזם ""כנסת שקופה"" הסתכם בהנגשת מאגרי מידע. זה חשוב, אך לא העיקר. אדלשטיין לא ניסה לשנות את כללי המשחק, ולא העז לגעת בפרות הקדושות של הח""כים כמו חשיפת הצהרות ההון שלהם, לוח הזמנים וחשיפת הקשרים עם הלוביסטים.","קן אברמוביץ׳/בעל קרן השקעות, ויו""ר ידידי הליכוד בארצות הברית",ולדימיר גוסינסקי/איל תקשורת רוסי ופעיל בקונגרס היהודי העולמי,משפחת פאליק/בעלת רשת חנויות דיוטי פרי גדולה בארצות הברית,,,,"רונן פלוט/מנכ""ל הכנסת/איש אמונו שהיה לצדו גם כשהיה שר הקליטה",קובי צורף/היועץ הפוליטי של נתניהו/בעבר יועץ הפוליטי שלו,"אמנון דיק/לשעבר מנכ""ל בזק/אדלשטיין נלחם על מינויו ליו""ר רשות השידור",דליה איציק/יו״ר הכנסת לשעבר,,,,,<- טקסט הסבר,,,,
סילבן שלום,הליכוד,56,נשוי,5,וילה ברמת גן,"לא. ב–2012 העריך ""פורבס"" את הון משפחתו ב–150 מיליון שקל","התנגד לשתי הצעות (חשיפת ועדת השרים ותיעוד חופשי של ישיבות מועצה, נעדר מהשתיים האחרות)","מונופול מסוכן על משאב הגז הטבעי בישראל, מחירי גז גבוהים, מונופול חשמל לא יעיל וביקושים גבוהים לחשמל בעתיד – סוגיות קריטיות אלה עבור שוק האנרגיה והמשק הישראלי נותרו בשנתיים האחרונות ללא מענה במשרד האנרגיה והמים, שבראשו עמד השר סילבן שלום. בקדנציה החולפת שלום היה טרוד בקמפיין הבחירות שלו לנשיאות המדינה ואחר כך בקמפיין לרשימת הליכוד לכנסת, ומשכך, נבצר ממנו לעתים מלמלא את תפקידו המיניסטריאלי, כשגם אל לשכתו במשרד מיעט להגיע. 
שלום מקושר היטב בתקשורת, במגזר העסקי ובסניפי המפלגה. הוא נוהג לבלות בגאלות נוצצות ובאירועים של אנשי הליכוד – אך התנזר דווקא מפגישות רגישות בנושאי שוק הגז הטבעי או החשמל הפרטי, הרחיק עצמו מהכרעות בעלות פרופיל מחאתי גבוה והעדיף להסתפק סטטוסים קונצנזואליים בפייסבוק, בכובעו השני, כשר לפיתוח הנגב והגליל. שלום רמז כי אינו להוט לתמוך בהטלת מגבלה על מחיר הגז בשוק, לא הביע עמדה ברורה באשר לניסיונות להצר את צעדי המונופול הגז, ובכל הקשור לחברת החשמל – ועד העובדים כבר למד שיש לו על מי לסמוך במשרד. תחת הטיפול המורכב באלה, דאג שלום לטפח יוזמות שנראות טוב על הנייר אך ספק אם ייצאו לפועל, כמו שבתון ביום ראשון או תעלת הימים.","מיכאיל מירילשווילי/מיליארדר גיאורגי-יהודי/עוסק בקידוחי גז, נדל״ן, יהלומים והימורים מקוונים",צבי בארינבוים/הבעלים של אקסלמדיה,ולדימיר גוסינסקי/ איל תקשורת רוסי ופעיל בקונגרס היהודי העולמי,,,,"ארנון מילצ'ן/מפיק קולנוע בהוליווד ולשעבר איש הלק""מ",יגאל זילכה/בעל השליטה בקווינקו,דוד פתאל/איש עסקים ובעלי ארשת מלונות פתאל,,,,,http://www.,,,,,
צחי הנגבי,הליכוד,58,נשוי,4,בית במבשרת ציון,לא,התנגד לכלל ההצעות,"המעגלים של הנגבי כוללים קבלני קולות, ראשי ערים ולוביסטים. הוא גם לא מקפח את התורמים, גם מהפריימריז וגם מהעמותה שהקים בעבר לצורך מימון הגנתו המשפטית (לה תרמו מנהלי חברות ביטוח, דירקטורים, אנשי עסקים ואחד, רמי לוי). אפילו חברי כנסת לשעבר זוכים לשירותיו של הנגבי: בקדנציה האחרונה ניצל לא מעט מזמנו לקידום חוק המאפשר למי שכיהן כחבר כנסת לעשות שימוש בתואר ח""כ לשעבר גם במסמכים ופרסומים.","דייוויד פדרמן/בעלי פטרוכימים/יו""ר בזן ומבעלי מכבי תל אביב",ישי מור/שותף בחברת נפט רוסית Lukoil-AIK,חן למדן/בעל השליטה בחברת השילוח והלוגיסטיקה אוריין,,,,מיכאיל מירילשווילי/מיליארדר גיאורגי-יהודי,יצחק קויפמן/איש עסקים בתחום התחבורה/העסיק את הנגבי ב–2011. מייצג בישראל את חברת הרכבות CNR ויצרנית האוטובוסים יוטונג,"איל גבאי/לשעבר מנכ""ל משרד ראש הממשלה",,,,,,,,,,
זאב אלקין,הליכוד,43,נשוי,4,"בית בכפר אלדד, גוש עציון",לא,נעדר מכלל ההצבעות בנושא,"יו""ר הקואליציה ויו""ר ועדת הכנסת הוא אחד האנשים החזקים במשכן בשש השנים האחרונות. אלקין צבר את כוחו בזכות בריתות, שליטה מרשימה בתקנונים ורשת קשרים ענפה במשק ובמזרח אירופה. בלשכתו עוברים מדי יום חברי כנסת מכל הסיעות, לוביסטים, אנשי עסקים ותורמים שלעתים הוא משדך לחברי כנסת שהוא רוצה ביקרם. אלקין נוטה להתרחק מנושאים כלכליים ומתמקד בסוגיות מדיניות כדי לקרוץ לפלח מצביעיו בליכוד, ומקווה לא לעשות טעויות שירחיקו אותו ממשאת נפשו האמיתית - משרד החינוך.","קנת אברמוביץ'/בעל קרן השקעות ויו""ר ידידי הליכוד בארה""ב",מיכאיל מירילשווילי/מיליארדר גיאורגי-יהודי,ולדימיר גוסינסקי/איל תקשורת רוסי ופעיל בקונגרס היהודי העולמי,רמי וייספיש/איש עסקים,,,"גנדי בלרוצקי/עו""ד/פעיל בולט ביהדות אוקראינה, תיווך בין אלקין לאילי הון ותורמים אחרים בתפוצות","שבח שטרן/פעיל התיישבות ויו""ר המטה הלאומי בליכוד",,,,,,,,,,,
משה יעלון,הליכוד,64,נשוי,3,וילה בישוב מכבים–רעות,לא,"התנגד לחשיפת תיקי המניות של הח״כים, נעדר משאר ההצבעות","בניגוד להצהרותיו כי ידאג לכל צורכי החברה הישראלית, יעלון מכהן כלוביסט מספר 1 של הצבא. בתקופתו המשיך לנסוק תקציב הביטחון במיליארדי שקלים, והשיח על שקיפות והתייעלות פינה את מקומו לססמאות שנועדו לשמר את המצב הקיים ולהמשיך להזרים את כספי הציבור לבורות השומן הצבאיים.","רוג'ר הרטוג/מנכ""ל חברת האחזקות סנפורד ברנסטין ומייסד קרן התקווה","קן אברמוביץ׳/בעל קרן השקעות ויו""ר ידידי הליכוד בארה""ב",אדם מילשטיין/חבר הקהילה היהודית בלוס אנג'לס/תרם גם לארדן,,,,"דוד רוזן/שופט במחוזי ת""א, חברו מימי גרעין הנח""ל","אדוארדו שובל/יזם הייטק ומנכ""ל אקסלס. תרם בעבר ליעלון/בנו, רונן, מתמודד ברשימת הבית היהודי",,,,,,http://www.themarker.com/1.2563490,<- דמו אתר,,,,
דוד ביטן,הליכוד,54,נשוי,2,דירה בנחלת יהודה,לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו: דירה בשווי כמיליון שקל בראשון לציון. 1/16 מבית ומשק עזר בנחלת יהודה ומדירה בראשון לציון,,סגן ראש עיריית ראשון לציון טיפח קשרים בליכוד עשרות שנים וכעת הוא קוצר את הדיווידנדים - התברגות ברשימה הארצית. בעבר שימש דירקטור בחברת פוספטים בנגב ובמועצה הישראלית לצרכנות.,,,,,,,ישראל כץ/שר התחבורה,"גדעון סיטרמן/לשעבר יו""ר נמל אשדוד",שפי ששון/איש עסקים,,,,,http://www.themarker.com/st/c/prod/tm/2015/02/connectionMap/conectionMap.html,,,,,
אופיר אקוניס,הליכוד,41,נשוי,2,תל אביב,לא,המתאם בין הממשלה לכנסת נעדר מכלל ההצבעות,"בכהונתו כיו""ר ועדת הכלכלה דיבר רבות על הצורך בתחרות, אך בפועל נטה לצדו של יצחק תשובה בדיונים על רפורמת ששינסקי, ולטובת חברות הסלולר כאשר משה כחלון ניסה להוריד את דמי הקישוריות. גם כשמעמדו שודרג לחבר ממשלה, נשאר אקוניס סגן שר הממונה על הקשר עם הכנסת. עיקר תפקידו הסתכם בתקיפת חברי האופוזיציה, במקום בניסיונות לייצר שיתופי פעולה סביב סוגיות כלכליות– חברתיות שיביאו לתועלת ציבורית רחבה.","שאול זכאי/יו""ר ועד האחים והאחיות","קנת אברמוביץ'/בעל קרן השקעות ויו""ר ידידי הליכוד בארה""ב",משה אדרי/מבעלי סינמה סיטי ויונייטד קינג,,,,יצחק תשובה/בעל השליטה בקבוצת דלק,נדב דואני/ראש המטה וחבר מרכז הליכוד,שי חייק/יועצו הפוליטי של נתניהו,,,,,http://www.themarker.com/1.2567409,<- כתובת סופית לאתר רגיל,,,,
גילה גמליאל,הליכוד,41,נשואה,2,"דירה בתל אביב (בשכירות, 7,700 שקל לחודש)","חשפה הצהרת הון מלאה: חסכונות בסך חצי מיליון שקל. לדבריה אין בבעלותה נדל""ן",התנגדה ונעדרה לסרוגין,"גמליאל הוכיחה בקדנציה האחרונה שהיא לא מחוברת לטייקונים ולקבלני הקולות, ומתוך הקואליציה נלחמה למען האינטרס הציבורי בשורה של רפורמות בוועדת הכספים. בניגוד לקודמיה בתפקיד רכזת הקואליציה בוועדה, לא נטלה גמליאל מכספי ""הקופה הקטנה"" שמשרד האוצר נוהג לחלק כדי להכשיר מהלכים במשכן.","חן נוימן/מנכ""ל תחום הרכב בקבוצת אלון, הוא ורעייתו תרמו 22 אלף שקל","שמעון סיבוני/מנכ""ל איסתא נכסים ומלונות","אחישי גל/מנכ""ל איסתא",,,,"רינת דנון/ עו""ד ולשעבר ראשת המטה של גמליאל",אייל רביד/בעלי רשת המרכולים ויקטורי,אביאל אברמוביץ/חבר מועצת עיריית הוד השרון ומאמן אישי,,,,,/st/c/prod/tm/2015/02/connectionMap/conectionMap.html,,,,,
דני דנון,הליכוד,43,נשוי,3,בית במושב משמרת שבשרון,לא,"התנגד לחשיפת תיקי המניות, נעדר משאר ההצבעות","בקדנציה הקודמת הגיש דנון הצעת חוק פרטית להגברת התחרות בשוק תחליפי החלב, אך בקדנציה הנוכחית זנח את הנושא הכלכלי לאחר שלמד היכן מרוחה החמאה — באמריקה. רובן המכריע של התרומות של דנון מגיעות מארצות הברית, וכך גם מעגל מקורביו. בהתאם, עיקר הנושאים שאותם הוא מקדם כיום הם ענייני חוץ וביטחון וארץ ישראל השלמה.
דנון, נשיא ועידת הליכוד ויו""ר המרכז, נחשב לאופוזיציונר תקיף לראש הממשלה ופעל בשנה האחרונה כדי לקבל שורת החלטות נגד נתניהו. בסופו של דבר פיטר נתניהו את דנון מתפקידו כסגן שר הביטחון, במהלך מבצע צוק איתן, לאחר שדנון מתח ביקורת חריפה על התנהלותו.",התרים מאות אלפי שקלים מאנשי עסקים אמריקאיים לא מוכרים,,,,,,"רון תורוזיאן/ בעל חברת יח""צ/מתמחה בגיוס תרומות ומיחצ""ן אותו בארצות הברית",מייק האקבי/לשעבר מושל ארקנסו/מראיין תכופות את דנון בתוכנית האירוח שלו בפוקס ניוז,"שבתאי קטש/עו""ד ויזם נדל""ן/פעיל מרכזי בליכוד בלוד",,,,,0AovTwC7nfGXAdDVlR2MxQzdtQ1M2Umh6T1ZkTmZXUFE,<- מפתח,,,,
בני בגין,הליכוד,72,נשוי,6,ירושלים,לא,,"בגין הונצח לרשימה ערב סגירתה על ידי ראש הממשלה נתניהו. אחרי הפוגה של שנתיים הוא חוזר לכנסת בתקווה לכיסא בממשלה, לאחר שבתפקידו האחרון כיהן כשר בלי תיק האחראי על נושאים כמו הכנת ישראל לרעידות אדמה. בשנות כהונתו זכה בגין לשבחים על יושרתו ומקצועיותו וגם על כך שעשה שימוש מצומצם בכספי הציבור ככל הניתן",,,,,,,דן מרידור/שר לשעבר,מיקי איתן/שר לשעבר,רובי רבלין/נשיא המדינה,,,,,/st/inter/prod/themarker/2014/magazine/special/70rich/mobile/index.html?key=,,,,,
