name,party,age,status,kids,address,declaration,voting,text,person_donor_1,person_donor_2,person_donor_3,person_donor_4,person_donor_5,person_donor_6,person_related_1,person_related_2,person_related_3,person_related_4,person_related_5,person_related_6,,info,,,,,
יריב לוין,הליכוד,45,נשוי,3,מודיעין,לא,התנגד לכלל ההצעות,"לוין הוא פרלמנטר חרוץ, אלא שאת פירות עבודתו קוטפים בעיקר נבחרי הציבור ולא הציבור. במו ידיו טירפד הצעות לריסון שכר הח״כים והגבלת תנאיהם המשובחים. הוא עשה זאת באמצעות התרגיל השחוק של דרישה לטפל במקביל בשכר השופטים, ובאותו תירוץ סירב גם לחשוף את הונו. בין ביקור בהתנחלויות לבין קידום חוקים ולסתימת פיות, לוין גם ניסה לעקר מתוכן את הרפורמה ברשות השידור. בימים האחרונים הוא מצא את עצמו בתפקיד יו״ר ועדת חוץ וביטחון, ועדה המשמשת כחותמת גומי מספר אחת לנעשה בצבא ההגנה לישראל.",רמי וייספיש/איש עסקים,ריצ'רד אבה/מנהל חברת השקעות אמריקאית,"ג'רום פאליק/מבעלי רשת דיוטי פרי בארה""ב",,,,,,,,,,,http://www.themarker.com/st/inter/prod/themarker/2014/magazine/special/70rich/mobile/index.html?key=,<- כתובת סופית לאתר מוביל,,,,
יובל שטייניץ,הליכוד,56,נשי,3,בית דו משפחתי במבשרת,לא,נעדר מכלל ההצבעות למעט ההצעה לחשיפת ועדת השרים לה התנגד,"השר לעניינים אסטרטגיים, שהוכיח יכולת עמידה בלחצים בעת שכיהן כשר אוצר וקידם יחד עם נתניהו את חוק הריכוזיות, השקיע את השנתיים האחרונות בנושאים ביטחוניים ובשהייה בחו""ל, לרגל עניינים מסווגים. כשלא שקע בנוסטלגיה או תקף את מחליפו, אמר את כל מה שנתניהו לא העז להגיד נגד החוק למניעת חלוקתו חינם של ""ישראל היום"". הישגו המשמעותי בקדנציה הנוכחית: איחוד שני משרדים מיותרים (המשרד לעניינים אסטרטגיים ומשרד המודיעין) למשרד מיותר אחד בראשותו.
שטייניץ פוזל לתיק האוצר בקדנציה הבאה בתקווה שנתניהו יואיל להפקידו בידו לנוכח שיתוף הפעולה הפורה ביניהם. שטייניץ נחשב מיודד עם שרה נתניהו- רעיית רה""מ.",אברהם יקואל/בעלי חברת יעז/חברת הבנייה שלו מקדמת פרויקטים ברחבי הארץ בין השאר עבור משרדי ממשלה ורשויות מקומיות,חנוך מדנס/בעלים של משרד אדריכלים,,,,,גרי חכים/בעל משרד לובינג וגיסו,דוד שרן/ראש הלשכה של בנימין נתניהו/בעבר היה ראש המטה של שטייניץ,משה תאומים/בעלי גיתם,,,,,,,,,,
איוב קרא,הליכוד,60,נשוי,6,"בית בשכונה המזרחית, דלית אל–כרמל",לא,,"קרא, שכיהן בעבר כסגן שר לפיתוח הנגב והגליל, לא הותיר חותם בשנותיו הקודמות בכנסת ובממשלה. תחקיר עובדה חשף כי בתחילת 2011 בעודו סגן שר ביקר קרא באחוזה מפוארת של מיליונר גרמני שהורשע בשוחד. בביקור דובר על קידום של תכנית עסקית כלשהי. בנוסף נשמעו בעבר טענות על חוסר מקצועיות מצד אנשי משרדו.",מימון עצמי,,,,,,אולריך מרסיי/מיליונר גרמני בעלים של רשת בתי חולים ובתי אבות,שייח אמין קבלין/אביו של ראש עיריית בית ג'אן,"בועז קלי/סמנכ""ל מוסדות החינוך של חב""ד בחיפה וקריית שמואל",,,,,static/tm/2015/02/connection/image1/,<- מיקום תיקית תמונות,,,,
ענת ברקו,הליכוד,55,נשואה,3,רמת גן,לא,,"סא""ל (מיל.) וד""ר לקרימינולוגיה שחקרה את תופעת המחבלים המתאבדים. במסגרת מחקרה נפגשה עם אסירות ואסירים ביטחוניים פלסטינים בכלא הישראלי, בהם מנהיג החמאס אז, השייח יאסין. ברקו היתה חברה בכמה פורומי מחקר בהתמודדות עם טרור בשירותה בצה""ל ובמועצה לביטחון לאומי, והיא עמיתת מחקר במכון למדיניות נגד טרור במרכז הבינתחומי בהרצליה.",,,,,,,,,,,,,,,,,,,
מיקי זוהר,הליכוד,35,נשוי,4,קריית גת (בשכירות),לא,,"סגן ראש עירית קרית גת וחבר הנהלה באיגוד הכדורסל נכנס למקום ריאלי בקמפיין מצומצם בעלות של כ-50 אלף שקלים. הוא החזיק בעבר משרד תיווך בעירו. בתקשורת פורסם כי זוהר הציג עצמו כעורך דין בפורומים שונים לפני שסיים את התמחותו, וכן כי עמותת הכדורסל העירונית שעמד בראשה בהתנדבות זכתה לתמיכה מהעירייה בימיו כחבר מועצה.",מימון עצמי וגיוס שלא הושלם,,,,,,יחיאל זוהר/ראש עיריית נתיבות,אבירם דהרי/ראש עיריית קרית גת,פיני סבח/איש עסקים וחבר בליכוד,שמעון אמסלם/איש עסקים וחבר ברשימתו של זוהר למועצת העיר,,,,themarker.com,<- בחירת צבע עיצובי,,,,
דוד אמסלם,הליכוד,54,נשוי,2,מעלה אדומים,לא,,"אמסלם, לשעבר יו״ר הליכוד בירושלים, היה אמור להיות מספר 2 של משה ליאון — אם האחרון היה נבחר לראשות עיריית ירושלים. לאחר הבחירות פרש אמסלם מתפקידו כמנהל אגף שפ""ע בעירייה, והתמודד לתפקיד מנכ""ל מע""צ שם התקדם עד השלב האחרון (שטרם הוכרע) תפקיד עצום החולש על פרויקטים בסדר גודל של 40 מיליארד שקל.",יצחק קויפמן/איש עסקים בתחום התחבורה,אסתר חנה קויפמן/התמודדה על מקום במועצת סניף הליכוד בירושלים,,,,,"משה ליאון/רו""ח ולשעבר מנכ""ל משרד ראש הממשלה",אלכסנדר גרנובסקי/בעל השליטה בחברת בי.ג'י.אי ולשעבר חבר פרלמנט אוקראיני/מינה את אמסלם לדירקטור בחברת יבוא המזון ויליפוד,,,,,,,,,,,
ציפי חוטובלי,הליכוד,37,נשואה,,"דירה ברחובות (בשכירות, 4,000 שקל לחודש)","דיווחה על חסכונות ""בסך כמה עשרות אלפי שקלים""","נעדרה משלוש מההצבעות, התנגדה להצעה לחשיפת האינטרסים של חברי הכנסת","העיתונאית לשעבר לא הביאה בשורה של ממש לציבור בשש שנותיה בכנסת ובממשלה. חוטובלי התבלטה בעיקר בעמדותיה בנושא הסכסוך, ולא הצליחה להוביל מהלכים כסגנית שר התחבורה (וכעת גם המדע) ולפני כן כיו״ר הוועדה למעמד האישה בכנסת ה-18.",,,,,,,"דן מרגלית/עיתונאי ""ישראל היום""",אברהם נניקשווילי/איש עסקים,,,,,,,,,/st/inter/tests/tzafrir/2014/may/70Rich/desktop/index.html?key=,,
יואב קיש,הליכוד,46,נשוי,3,"בית בשיכון ותיקים, רמת גן. לדבריו אינו מחזיק בנדל""ן נוסף",לא,,טייס אזרחי בחברת אל על. בעבר היה מושקע בחברות ביוטק וסטארטאפים דרך חברת אחזקות שעליה ייאלץ כעת לוותר. הוא מקווה להתמנות לוועדת הכספים ולדבריו להוביל חוקים דוגמת החוק להגברת התחרותיות (וצמצום הריכוזיות).,"יצחק שרם/לשעבר משנה למנכ""ל קונצרן כלל, תרם 5,000 שקל/סכום גבוה יחסית לשאר התרומות שגייס קיש",,,,,,עמרי וגלעד שרון/בניו של ראש הממשלה המנוח דרכם השתלב בליכוד/אמו של קיש היתה חברתה הקרובה של לילי שרון,יועז הנדל/עיתונאי,,,,,,,,,http://www.themarker.com/st/inter/tests/tzafrir/2014/may/70Rich/desktop/index.html?key=0AovTwC7nfGXAdDVlR2MxQzdtQ1M2Umh6T1ZkTmZXUFE,<- לינק למפתח דסקטופ,
ז׳קי לוי,הליכוד,55,נשוי,7,בית שאן,לא,,"כבן ל""משפחת קנדי"" הבית שאנית, ז'קי לוי מרושת היטב. בנו של השר לשעבר דוד לוי ואחיה של ח""כ אורלי לוי–אבקסיס מחובר למרכז השלטון המקומי ולחברות הבנות באמצעות קשרי משפחה וחברים. לוי הוא ראש עיריית בית שאן לשעבר - עברו כראש עיר כלל שורה של האשמות למינויי מקורבים ובזבוזי כספי ציבור.",תאופיק דראושה/בעלים של חברת בנייה/חברת הבנייה הגדולה מצפון הארץ זכיינית של החברה למשק וכלכלה ומפעל הפיס,"אילן מירון/עו""ד/תרם גם לדני עטר מהעבודה בבחירות הקודמות",,,,,"חיים ביבס/יו""ר השלטון המקומי/השניים בני דודים","שאול מזרחי/יו""ר החברה למשק וכלכלה של השלטון המקומי",שוקי טייב/לשעבר העוזר האישי של לוי,,,,,"מי התורמים, המלחששים והמקורבים של **. פרויקט מיוחד של TheMarker Magazin",<- שיתוף פייסבוק אישי,,,<- לינק למפתח מובייל,
חיים כץ,הליכוד,67,נשוי,3,"בית פרטי בשוהם
",לא,נעדר משלוש הצבעות והתנגד לחשיפת תיקי המניות,"כץ הוא יו""ר ועדת הרווחה בכנסת, אך במקביל לתפקודו כח""כ הוא משמש גם כיו""ר ועד עובדי התעשייה האווירית בחל""ת. כץ חובש באין מפריע את שני הכובעים האלה. הדבר עורר את זעמו של אורי יוגב מנהל רשות החברות הממשלתיות, אך אפילו הוא לא הצליח להכניע את הדירקטוריון של התעשיה האוירית לבטל את החל""ת של כץ. גם חברי הכנסת מגנים על האיש החזק בתעשיה האוירית: בעבר איפשרה לו ועדת האתיקה של הכנסת, אז בראשות מקורבתו שלי יחימוביץ, להמשיך ולשהות בחל""ת ממושך - כך שלכץ אין מה לדאוג, הוא יכול גם בקדנציה הבאה להחזיק בשני הכובעים. כיצד הדבר משפיע על תיפקודו כח""כ? על כך אולי צריכים להשיב עובדי תעשייה אוירית שמתייצבים כמו חיילים בכל פעם שיש בחירות מקדימות בליכוד. כוחו בליכוד קטן לאחרונה אך כץ שמאוהב בתפקידו כיו״ר ועדת העבודה והרווחה לא מודאג. כנראה גם בקדנציה הקרובה ימשיך בתפקידו ויילחם למען ציבור העובדים החוסך והרחב כשהמצלמות דולקות, ולמען האינטרסים האישיים שלו ושל העובדים המחוברים יותר כשהן כבויות.",,,,,,,"קובי מימון/לשעבר יו""ר תאגיד ישרמאקו","לאה נס/עו""ד/לשעבר סגנית שר",אלי כהן/מבכירי ועד התעשייה האווירית,,,,,"התורמים, הבתים, ההון והמקורבים: כל מה שצריך לדעת על ** בבחירות הקרובות. פרויקט מיוחד של TheMarker",<- שיתוף טוויטר אישי,,,,
יצחק הרצוג,המחנה הציוני,54,נשוי,3,קוטג׳ בשכונת צהלה בצפון תל אביב,"חשף חלקית את הונו המוערך בכ-10-11 מיליון שקל: ערך ביתו 7–8 מיליון שקל; בבעלותו זכויות על קרקע ב""גוש הגדול"" בתל אביב ששטחה לא פורט (ביחד עם אמו); פיקדונות בבנקים וקופות גמל: כ–3.2 מיליון שקל",תמך בשלוש מההצעות. נעדר מההצבעה לחשיפת ועדת השרים,"הרצוג הוא בן לאליטה ישראלית וותיקה (חיים הרצוג אביו, אבא אבן דודו). באופיו נחשב הרצוג לאיש של פשרות – וזה היסוד לתדמית החנון שהדביקו לו יריביו. בניגוד לקודמתו יחימוביץ', הטיקט של הרצוג הוא מדיני ולא כלכלי-חברתי ונראה כי אין לו עמוד שדרה אידיאולוגי מוצק בתחום זה, לא כל שכן להט לחולל בו שינויים. הניסיון הבולט ביותר של הרצוג הוא כשר הרווחה, תפקיד בו כיהן בין השנים 2007 ל 2011. הרצוג נחשב לשר מוצלח יחסית, מי שהרחיב את מגוון שירותי הרווחה שהמדינה נותנת. ואולם, בד-בבד הוא הרחיב גם את המגמה הקלוקלת של שירותי הרווחה בישראל- מתן אותם שירותים באמצעות הפרטת שירותי הרווחה. זאת, בדרך-כלל על-ידי עמותות של המגזר השלישי המשמשות כקבלני משנה של משרד הרווחה. 
המוטיביציה (או העדרה), של הרצוג לשנות סדרי עולם בתחום החברתי-כלכלי, תלויה גם לא מעט במקום שממנו הוא בא. הדימוי של הרצוג, ובמידה רבה של צדק, הוא של ילד שמנת, כפי שמעידה היטב הצהרת ההון שחשף (צעד מבורך בפני עצמו). להרצוג, יש גם לא מעט חברים במגזר העסקי, בין היתר בחברת טבע ובזכות קשרים שצבר במשרד הרצוג-פוקס-נאמן. הוא גם מקושר היטב במרכז מפלגת העבודה ובהסתדרות. החיבור להסתדרות מבטיח שהרצוג יעמוד לצד העובדים במשק, מטרה חשובה בכלל, ובפרט שמדובר במפלגת העבודה. אך השאלה האם ידע לעמוד מול הוועדים במקומות בהם כוחם מוגזם כמו בנמל אשדוד וחברת החשמל. 
מעניין גם יהיה לבחון את הגיבוי שהרצוג יעניק בכל הנוגע ליחסים עם ההון הגדול. האם הרצוג, כשר כלכלי בכיר, יתמוך בחקיקה משמעותית להגבלת שכר הבכירים בבורסה או בצעדים אחרים שיפגעו בלקוחות של המשרד שבו עבד בעבר, הרצוג-פוקס-נאמן ? הרצוג טוען כיום שאין קשר בינו לבין המשרד, אחד הגדולים והמקושרים במשק, אך אם יקבל תפקיד ביצועי בכיר, חובת ההוכחה תהיה עליו. 
על גבו של הרצוג,תלוי קוף – פרשת העמותות מ-1999, עת היה אחד הפעילים המרכזיים בקמפיין אהוד ברק לראשות הממשלה, אך שתק בחקירת המשטרה לאחר מכן. הרצוג התנצל על שתיקתו, אך עדיין לא ברור האם הכתם הזה ילווה אותו גם בעתיד. 
*התורמים המופיעים כאן תרמו לו בעבר",דוד קוליץ/איש עסקים,ישראל גרידינגר/מבעלי תיאטראות ישראל,מיכאל לוי/יבואן רכבי פיאט לישראל,המיליונר דניאל אברמס,אריה סבן/אחיו של המיליארדר חיים סבן,דיוויד אסיא/מייסד חברת התוכנה מג'יק,"אבי ניסנקורן/יו""ר ההסתדרות",אייל שויקי/ראש המטה ואחד האנשים המקורבים ביותר להרצוג,,,,,,,<- לינק לשיתוף,,,,
ציפי לבני,המחנה הציוני,56,נשואה,2,בית בן חמישה חדרים ברמת החייל בתל אביב,"חשפה את הונה. שווי נכסים מוצהר כ-10 מיליון: בית בתל אביב: 5–4.5 מיליון שקל ; קופות גמל וקרנות השתלמות: 2.5 מיליון שקל; תיק ני""ע: 2.5 מיליון שקל; יתרת עו""ש: 34 אלף שקל ובנוסף חלקים ב-2 דירות ובמגרש שלא דווח ערכם.","הצביעה נגד חשיפת תיקי המניות, נעדרה משאר ההצבעות","בקדנציה האחרונה פעלה לבני למען השקיפות השלטונית ונלחמה להתרת קשרי ההון–שלטון בקרב חבריה לשולחן הממשלה: ביקשה לחשוף את אופן הצבעות השרים בועדת השרים לחקיקה ונהגה לפרסם את אופן הצבעותיה בהצעות חוק פרטיות (אולם, מזכיר הממשלה סירב לאפשר את חשיפתן); היא גם גיבשה קוד אתי חדש לשרי הממשלה, שהוגש ביום האחרון לכהונתה בתפקיד ויחד עם הרצוג התחייבה לבני באחרונה לבטל החל מהממשלה הבאה את חלוקת ה""כספים הקואליציוניים"". נראה כי הקרע בינה לבין נתניהו פרץ על רקע תמיכתה בחוק ""ישראל היום"" שאושר בקריאה טרומית.
הדיל שרקמה עם הרצוג הצליח למצב את לבני במקום מרכזי במפה הפוליטית, לאחר שסקרים ניבאו גורל מר ל""התנועה"" בראשותה. לבני נשואה לפרסומאי נפתלי שפיצר. לאחרונה נשמעו תלונות על מעורבותו בקמפיין ""המחנה הציוני"" למורת רוחם של בכירים במפלגת העבודה (במטה לבני אומרים כי הוא לא מקבל כל תקציב מהקמפיין ""ומשתדל לעזור מעת לעת ככל שיכול לתרום מניסיונו""). לבני ושפיצר מקורבים ללא מעט אנשי עסקים במשק. בסוף 2008 בפריימריס על ראשות קדימה גייסה לבני 2.8 מיליון שקלים.
* רשימת התורמים המופיעה כאן תרמה לליבני בעבר",נועם לניר/איש הייטק ויזם*,"דוב לאוטמן ז""ל/תעשיין ואיש עסקים*","דספינה שרמיסטר/רעייתו של יגאל שרמיסטר מחברת ""השמירה""*",צ'ארלס ברונפמן/איל הון ובעל השליטה היוצא של דיסקונט*,"נחום פיינברג/עו""ד*",,ארנון מילצ׳ן/מפיק הוליוודי,צ'ארלס ברונפמן/ איל הון יהודי–קנדי,דוד ומיכל פורר/ בעלי קבוצת ניאופרם,יצחק נזריאן/מיליארדר יהודי ומייסד פורום לשינוי שיטת הממשל בישראל,,,,,,,,,
שלי יחימוביץ',המחנה הציוני,54,גרושה,2,דירה בתל אביב,חשפה את הונה. דירה בשווי 2–2.5 מיליון שקל; חסכונות בגובה כ–480 אלף שקל,"הצביעה בעד שלוש מההצעות, נעדרה מההצבעה לחקיקת חוק שיאפשר תיעוד חופשי של ישיבות מועצה","יחימוביץ' היא אולי הסוציאל–דמוקרטית הבולטת במפלגת העבודה, מחוקקת חברתית מצטיינת שעל שמה רשומים חוקים רבים כמו חוק הקופאיות, חוקים להגנה על עובדי קבלן וטקסטיל מתוצרת הארץ. למעשה אפשר לומר שיחימוביץ הטביעה עם בחירתה לכנסת ב-2003 את השיח החברתי כלכלי כקודם לנושאי הביטחון. עם זאת נטייתה להגן על ועדי עובדים בכל מחיר מכשירה לעתים גם שרצי אי צדק, בעיקר במונופולים הממשלתיים. אמונתה כי יש לצמצם את פערי השכר בין המנהלים לעובדים - גם באמצעות שכר חלומי למנופאים, למשל, עלולה להוביל לכך שלא תיתן את ידה לרפורמות להבראת המשק. 
הדחתה מראשות מפלגת העבודה בסוף 2013 נבעה בעיקר מהתנגדות אישית כלפיה ובעיקר לנוכח הכרזותיה ערב הבחירות האחרונות שלא תצטרף לממשלה. ערב הפריימריס במפלגתה היא העניקה ""חיבוק דוב"" ליו""ר הרצוג ואף תמכה בהתמודדות המשותפת עם ""התנועה"". כעת, לאחר שזכתה במקום הראשון בפריימריס, במפלגתה היא תדרוש תיק כלכלי בכיר בממשלה אם מפלגתה תהיה שותפה בה, וזאת לאחר שתיק האוצר כבר הובטח לפרופ' מנואל טרכטנברג. עם טרכטנברג יש לה חילוקי דעות לגבי כמה מסעיפי התוכנית הכלכלית שהציג- ואותם נשמע בוודאי לאחר הבחירות אם ינסה לממשם. רוב התורמים שלה הם קטנים שתרמו לה מאות שקלים. *במערכת הבחירות הקודמת תרם לה גם איש העסקים דיוויד פדרמן
",דורון צברי/במאי,"יעל דיין/ח""כ לשעבר",דיוויד פדרמן/איש עסקים*,,,,עופר קורנפלד /יזם הייטק,אבנר סטפק/מבעלי בית ההשקעות מיטב דש,שלום קיטל/איש תקשורת ויועץ אסטרטגי,,,,,,,,,,
סתיו שפיר,המחנה הציוני,29,רווקה,,"דירה בשכירות (4,600 ש""ח לחודש) בתל אביב",חשפה את הונה. חסכונות בסך כ–340 אלף שקל,תמכה בכל הצעות החוק,"שפיר מתמקדת בחשיפת הדילים התקציביים האפלים שסוגרים עמיתיה למשכן עם משרדי הממשלה, ומשתדלת לבלום אותם בכוחה המוגבל כחברת אופוזיציה. קמפיין התרומות הקטנות, בתוספת הדלק שבו מציידים אותה פעילי המחאה, ממצבים אותה כנציגת הציבור הרחב וחסר הלוביסטים במשכן. שפיר מצליחה להפוך נושאים כמו שקיפות והעברות כספים לאטרקטיביים ולעורר בהם עניין ציבורי. כמו כן קידמה כמה חוקים ובהם חוק להגנה על שוכרי דירות. השאלה אם כעת, לאחר שהתברגה בראש הרשימה, תקדיש את מרצה גם לנושאים שמושכים פחות לייקים כמו מס חברות דיפרנציאלי שמושפע מהכנסות התאגידים, פנסיה תקציבית, תקציב משרד הביטחון ורפורמות בשירות הציבורי *התרומות שקיבלה שפיר הן קטנות ונאספו מכ– 1540 איש",דורון צברי/במאי,"תומר פרסיקו/ד""ר",שמואל הספרי/מחזאי,אלון נוימן/שחקן,,,משה דבי/יועץ תקשורת,אלון פילץ/מבעלי דיזנגוף סנטר,עוזי ברעם/שר לשעבר,,,,,,http://htz.li/1lhTkZt,,,,
איציק שמולי,המחנה הציוני,34,רווק,,"דירה בשכירות (2,200 שקל לחודש) בלוד",חשף את הונו. חסכונות: 60 אלף שקל,תמך בארבע הצעות החוק,"בכהונתו עסק שמולי - שלא מפספס אף יום במשכן - בתנאי חיילי המילואים ובסוגיות כמו דיור לצעירים ופנסיה סיעודית לקשישים. רוב המאבקים האלה נידונו להיכשל עקב שיוכו לאופוזיציה, כנראה גם שמולי הבין זאת - חלק ניכר מזמנו בשנה האחרונה הוקדש לשיחות עם פעילי המפלגה ולטיפוח מעמדו המתחזק בה.שמולי זכה לאינספור תמונות וכותרות חיוביות וליחסי ציבור נאים בעיתון ידיעות אחרונות. במקביל הביע שמולי תמיכה פומבית בחוק ""ישראל היום"". שמולי קיבל בעבר תרומה שנויה במחלוקת מחברת אי.די.בי תחת שליטת נוחי דנקנר, לפרויקט שיזם בלוד. הוא מקורב לראשי ההסתדרות ולאבי ביתן שמחזיק במכללות פרטיות.",אבי ביתן/יזם בתחום החינוך,חן למדן/בעל השליטה בחברת השילוח והלוגיסטיקה אוריין,אחישי גל/מנכ״ל איסתא,,,,"בנימין בן אליעזר/שר וח""כ לשעבר","אופיר פינס–פז/מנכ""ל המכון לחקר השלטון המקומי ושר לשעבר",,,,,,,,,,,
עמר בר לב,המחנה הציוני,61,נשוי,3,בית בכוכב יאיר,"לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו:
מחזיק בבית ומגוריו ובבית נוסף בשדה אליעזר (משכנתא ל–10 שנים)",תמך בכל הצעות החוק,"עטוף בשמיכת תורמים יוצאי סיירת מטכ""ל ואנשי עסקים מתחום הנדל״ן, דהר בר לב לעשירייה הראשונה של המחנה הציוני. בקדנציה האחרונה ניסה להוביל אג'נדה לריסון תקציב הביטחון ולקידום תוכנית תקציבית רב שנתית. הוא מתמקד בתחום המדיני, אך גם שואף לקדם פנסיה ממלכתית ולהטמיע בישראל את מודל החיסכון הצ'יליאני — שתי סוגיות שסביבן נועד כמה פעמים עם הממונה על הביטוח, דורית סלינגר. אפשר להניח כי מינויו של ידלין למועמד הרשימה לתפקיד שר הביטחון הוא מהלומה פוליטית עבור בר לב","אילן שילוח/איש עסקים, יו""ר מקאן תל אביב","גיורא ארדינסט/מבעלי משרד עוה""ד ארדינסט, בן נתן ושות'","דורון קמפל/איש עסקים, יוצא סיירת מטכ״ל",,,,"ניסים דואק/יועץ תקשורת ואסטרטג, הבעלים של משרד ייעוץ תקשורת יוניק","אופיר פינס–פז/מנכ""ל המכון לחקר השלטון המקומי ושר לשעבר",,,,,,,,,,,
יחיאל (חיליק) בר,המחנה הציוני,39,נשוי,2,"דירה בשכירות בשכונת בקעה בירושלים
",חשף את הונו: חסכונות 800 אלף שקל,"תמך בשלוש הצעות, נעדר מההצבעה לחשיפת ועדת השרים","מזכ״ל העבודה, נושא דגל רעיון שתי המדינות במפלגתו, ניסה לקדם חוק להגנה על שוכרי דירות (עם סתיו שפיר). מתכוון לכבוש את משבצת יקיר הפריפריה, לצד קידום חוקים שיאפשרו דמוקרטיה ישירה.",,,,,,,"אופיר פינס/מנכ""ל המכון לחקר השלטון המקומי ושר לשעבר","מיכה חריש/לשעבר שר ומזכ""ל מפלגת העבודה",ניר ברקת/ראש עיריית ירושלים,,,,,,,,,,
