name,party,age,status,kids,address,declaration,voting,text,person_donor_1,person_donor_2,person_donor_3,person_donor_4,person_donor_5,person_donor_6,person_related_1,person_related_2,person_related_3,person_related_4,person_related_5,person_related_6,,info,,,,,
איילת שקד,הבית היהודי,39,נשוי,2,דירה בשכונת בבלי בתל אביב,לא,התנגדה לכלל חוקי השקיפות,"מקום ראשון בפריימריז המפלגתיים, נחשבת למקורבת מאוד ליו""ר בנט. השניים עבדו יחד בלשכת נתניהו כראש אופוזיציה, אך פרשו מהלשכה בחריקת שיניים. נתניהו ""בלע"" את הרוק כשהכניס את בנט לממשלתו, וכעת, לאחר הבחירות דורשים ב""בית היהודי"" שגם שקד תשב ליד שלחן הממשלה -עדיף כשרה לביטחון פנים במטרה ״להשליט סדר ברחובות״. התייצבותה בראש משרד זה או משרד המשפטים תאפשר לה לממש את עמדותיה לגבי הגבלת כוחו של בית המשפט מול הכנסת. 
בכנסת האחרונה קולה נשמע בעיקר סביב נושאים מדיניים, אך שקד עסקה בכנסת היוצאת גם בסוגיות כלכליות. למשל, היא היתה מעורבת בקידום חוק להגברת התחרות בענף המזון ובהצעה אחרת להקלות על הקמת תחנות דלק. עם זאת, את עיקר הרעש חוללה הצעת החוק שעליה חתמה עם חברי כנסת אחרים שנועדה למנוע מהעיתון ""ישראל היום"" להמשיך להפיץ את גיליונותיו חינם — הצעה שעברה בקריאה טרומית, אך מאז התפרקה הממשלה והוחלט על הקדמת הבחירות. 
חוק שנוי במחלוקת שהצליחה שקד לחוקק (עם ח״כ רוברט אילטוב מישראל ביתנו), נועד לאפשר למזקקי נפט לשווק גז טבעי. חוק זה סייע אך ורק לשתי חברות: בזן ופז. ואולם שקד הדפה את הביקורת שלפיה מדובר בחוק שקודם על ידי לוביסטים, וטענה שגם הוא נועד להגברת התחרות.","יוסף גוטניק/מנכ""ל מרלין יהלומים",אברהם פורז/לשעבר שר הפנים,מייקל אייזנברג/משקיע הון סיכון בהייטק,,,,הרב אביחי רונצקי/ראש ישיבת איתמר מקום 14 ברשימת הבית היהודי,"צבי צויבל/מנכ""ל פורום הציונות הדתית",רמי וייספיש/איש עסקים,,,,,,,,,,
אלי בן דהן,הבית היהודי,60,נשוי,9,דירה בירושלים,לא,התנגד ונעדר לסרוגין,"סגן שר הדתות קיבל מראש מפלגתו ושר הדתות, נפתלי בנט, יד חופשית. אלא שבן דהן, המחובר לרוב רבני השכונות והערים, נשאר רוב הזמן על הספסל, ולמעט רפורמה זניחה לא שיפר את השירות במועצות הדתיות השבעות, ולא לחם בבטלה או טיפל בשכר המופרז. במקום זאת, עסק בן דהן בסיוע לתפירת תפקידים לאנשי שלומו ובשימור הסטטוס קוו.",עזי פויכטונגר/איש עסקים,מייקל אייזנברג/משקיע הון סיכון בהייטק,מיכאל פרוינד/יו״ר ארגון שבי ישראל,,,,"הרב שמואל אליהו/רב העיר צפת, התמודד על משרת הרב הספרדי הראשי של ירושלים",מאיר זיילר/איש עסקים חרדי,אלחנן גלט/מנכ״ל זמני של הרבנות הראשית,,,,,,,,,,
ניסן סלומינסקי,הבית היהודי,69,נשוי,5,בית באלקנה,"לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו:
מחזיק בבית מגוריו ובדירת 4 חדרים ברמת גן",התנגד לכלל חוקי השקיפות,"ח""כ ניסן סלומינסקי שנבחר בתחילת הקדנציה כיו""ר ועדת כספים ידע היטב איך יושבים ""על השיבר"". סלומינסקי, ניהל את הועדה ביד רמה, כשהוא יודע לשאת ולתת עם פקידי האוצר ואף להוציא מהם תקציבים המיועדים למוסדות הציונות הדתית, ההתנחלויות ורשויות מקומיות בשטחים. לפי ניתוח של הסדנא לידע ציבורי לבקשת TheMarker עולה כי דרך הצינור של וועדת הכספים בראשותו, דלפו הסטות בתקציב המדינה בהיקף חסר תקדים של 55.7 מיליארד שקל - כמעט 13% מתקציב של 438 מיליארד שקל.
עם שר האוצר הקודם יאיר לפיד (יש עתיד) הוא ניהל מערכת יחסים טובה, כשכל אחד מהם יודע מה הוא רוצה מהשני. סלומינסקי חרף הסתייגויותו מיוזמת הדגל של לפיד ""מע""מ 0"" קידם את הצעת החוק בועדה במרץ רב. הוא אומנם הכחיש את ה""דיל"" עם האוצר להעברת 40 מיליון שקלים לרשויות מקומיות בשטחים בתמורה לקידום החוק, אבל במהלך דיוני הועדה העביר לפיד 20 מיליון שקלים והיתר יחכו כנראה לקדנציה הבאה. בדיוני הועדה ספג בקורת חריפה מח""כ סתיו שפיר (עבודה) בנושא ההעברות התקציביות. העימותים המתוקשרים ביניהם הובילו לא אחת להוראה שלו להוציאה בכוח מן הועדה. בכך דווקא סייע סלומינסקי לשפיר למצב את עצמה כלוחמת האינטרס הציבורי. ח""כים נוספים שביקרו את תיפקודו היו משה גפני, יעקב ליצמן (יהדות התורה) ויצחק כהן (ש""ס) שקבלו על כך שבתקופתו הכסף זרם למוסדות הציוניים והמעיין ""יבש"" לגבי המוסדות החרדים. סלומינסקי תרם לעצמו בפריימריס האחרונים במפלגתו 140 אלף שקלים כמחצית מהסכום הכולל שגייס, 285 אלף שקלים, ולדבריו עשה כן כדי שלא להזדקק לתרומות של אנשי עסקים וטייקונים בעודו יושב על כס יו""ר ועדת הכספים. לאחר שלמד את רזי הכוח של יו""ר הועדה בקדנציה הבאה הוא רוצה להמשיך ולשבת באותו כיסא גם אם סתיו שפיר תשב מולו.",שלמה פישמן/יו״ר ועד ההורים באולפנת ישורון,יחזקאל ברנהולץ/סוכן ביטוח,חנה שמרלינג/מרצה במכללת אורות באלקנה,,,,רוני רימון/יועץ תקשורת,"צבי צויבל/מנכ""ל פורום הציונות הדתית",איתמר שניר/חשב לשכת רואי החשבוןנשוי לבתו של סלומינסקי,,,,,,,,,,
ינון מגל,הבית היהודי,45,נשוי,4,"דירה בשכירות בתל אביב
","לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו:
חצי דירה בפרויקט לא בנוי בתל אביב",,"הכיוון הפוליטי של מגל בא לידי ביטוי כבר בהיותו עיתונאי: ב-2005 האשים את התקשורת שאינה מסקרת את ההתנתקות באובייקטיביות ובעת כהונתו כעורך ראשי של וואלה, כאשר יזם קמפיין במהלך מבצע צוק איתן: ""קודם כל ישראלי"". כעורך ראשי נתן במה למשך זמן מה לטוריו של אלדד יניב, ששטח טענות קשות גם נגד דמויות בולטות בימין כמו בנימין נתניהו ואביגדור ליברמן. מגל התבטא לא אחת בעד ליגליזציה של סמים קלים. הוא תושב תל אביב, לא חובש כיפה אך ילדיו לומדים במוסדות חינוך דתיים אדוקים.",,,,,,,שמעון ריקלין/עיתונאי וארכיאולוג,"אילן ישועה/מנכ""ל וואלה",חנוך דאום/עיתונאי,,,,,,,,,,
שולי מועלם–רפאלי,הבית היהודי,49,נשואה,7,נווה דניאל,"לא חשפה את הונה השלם. הסכימה לחשוף את נכסי הנדל״ן שברשותה:
זכויות ל–50% בשתי דירות במודיעין ובבאר שבע","הצביעה נגד שלוש מההצעות, ונעדרה מההצבעה לחשיפת ועדת השרים","יו""ר ארגון אלמנות ויתומי צה""ל לשעבר היא משיאניות הנוכחות במשכן, נחשבת לח""כית החברתית ביותר במפלגתה והרבתה לקדם סוגיות מתחום הרווחה.",יאיר איזבוצקי/בעל חברה למדידות,יובל טל/איש עסקים ויזם,,,,,"אבי רט/ראש מכון ש""י באוניברסיטת בר אילן וחבר ארגון רבני צהר",,,,,,,,,,,,
בצלאל סמוטריץ',הבית היהודי,35,נשוי,5,דירה בקדומים,"לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו:
דירה (עם משכנתא)",,"סמוטריץ', האהוד על הדור הצעיר של המתנחלים, מגיע לכנסת כדי לקדם את ההתיישבות ביהודה ושומרון, בנגב ובגליל, ולהילחם ב״משפטיזציית היתר בישראל״.",,,,,,,"יהודה אליהו/מנכ""ל עמותת רגבים (קידום מדיניות קרקע ציונית)",מרק בלזברג/איש עסקים יהודי– קנדי,"זאב חבר (זמביש)/מראשי מועצת יש""ע",,,,,,,,,,
ניר אורבך,הבית היהודי,45,נשוי,4,דירה בפתח תקווה,לא,,"אורבך היה יועצו של יו""ר המפדל לשעבר, אפי איתם, בעת שכיהן כשר השיכון. בכנסת היוצאת שימש כמזכ״ל הבית היהודי, ובעבר היה סמנכ״ל מפעלות הציונות הדתית - גוף שמעורב בניסיונות הבית היהודי לתקצב עמותות ולגופים הקרובים לליבה",,,,,,,צבי צויבל /מנכ״ל מפעלות הציונות הדתית,"אפי איתם /איש עסקים. לשעבר יו""ר המפד""ל ושר מטעמה","יעקב סולר/מנכ""ל המכללה האקדמית לחינוך תלפיות",,,,,,,,,,
מוטי מרדכי יוגב,הבית היהודי,58,נשוי,9,בית ביישוב דולב,לא,"התנגד לשלוש הצעות, נעדר מההצבעה לחשיפת האינטרסים של חברי הכנסת","ראש המועצה האזורית מטה בנימין לשעבר לא התבלט בכנסת היוצאת, והגיע לכותרות רק כשהטיח בתושבי עוטף עזה כי הם האשמים במצוקתם בעת ""צוק איתן"", מכיוון שתמכו בהתנתקות.",,,,,,,אבי רואה /יו״ר מועצת יש״ע,פרופ' יהודה דנון /נשיא אוניברסיטת אריאל בשומרון,,,,,,,,,,,
ענת רוט,הבית היהודי,40,רווקה,,דירה בשכירות בירושלים,"לא חשפה את הונה השלם. הסכימה לחשוף את נכסי הנדל״ן שברשותה:
דירה באפרת",,"פעילת שלום עכשיו לשעבר וד""ר למדע המדינה היא המנהלת של מכון מגלי""ם בעיר דוד, שפועל ""לחיזוק הקשר של עם ישראל לירושלים"". בעברה היתה רוט מנכ""לית איגוד המרכזים לזהות יהודית. שוריינה על ידי בנט למקום ה-15 במפלגה, לאחר שהתמודדה בפריימריז ולא נבחרה למקום ריאלי",,,,,,,הרב אבי גיסר/רב ההתנחלות עפרה,פנחס ולרשטיין /ראש מנהלת ההתיישבות,הרב חיים דרוקמן /ראש מרכז ישיבות בני עקיבא,,,,,,,,,,
אבי וורצמן,הבית היהודי,44,נשוי,4,דירה בבאר שבע,לא,התנגד לכלל חוקי השקיפות,"כסגן שר החינוך הקצה מיליונים מכספי הציבור למטרות ועמותות הקרובות ללבו, בהן עמותת מבראשית, שניהל בעבר. קידם תוכניות לחיזוק ערכי יהדות ואף גייס כספים לתוכנית למניעת התבוללות. וורצמן כמעט לא פעל מעבר לכך לטובת שיפור מערכת החינוך בארץ, אך ציבור בוחריו זכה לסגן שר שהעביר עבורם תקציבים רבים מתחת לאפו של השר פירון או בשיתוף פעולה שקט.",,,,,,,מרק בלזברג/איש עסקים יהודי–קנדי,"הרב חיים דרוקמן/ח""כ לשעבר, ראש ישיבת אור עציון","יקי מנדלסון/מנכ""ל עמותת מבראשית",,,,,,,,,,
אביחי רונצקי,הבית היהודי,63,נשוי,4,בית באיתמר,לא,,"הרב הראשי לשעבר בצה״ל מקורב מאוד ליו""ר בנט, שנעזר בו להקמת מנהלת הזהות היהודית. רונצקי למד במהרה כיצד לתעל למנהלת מיליונים מתקציב המדינה. כאשר נשאל על יחסו לקהילה ההומולסבית השיב ""אם היה לי בן הומו? הייתי מציע לו טיפול אך מקבל אותו כמו שקיבלתי לפני כן"". רונצקי הביע בעבר תמיכה בשחרורם של שני חברי מחתרת בת עין שהטמינו מטען חבלה ליד בית ספר מוסלמי: ""השב""כ אמר שהם אינם מסוכנים...אני מכיר את שניהם הם הביעו חרטה גמורה גם בכתב""",,,,,,,"אריק שור/מנכ""ל תנובה","מודי בן ש""ך/איש עסקים, לשעבר מנכ""ל פז",יעקב אגם/איש עסקים,,,,,,,,,,
אורית סטרוק,הבית היהודי,54,נשוי,11,בית בחברון,חשפה את הונה. ביתה מוערך בכ–300 אלף שקל; חסכונות: כ–270 אלף שקל,"התנגדה לשלושה חוקים, נעדרה מההצבעה על חשיפת ועדת השרים","הצהירה בכנסת שהיא למעשה ""שלוחת דעתו של הרב דב ליאור"", נושאת בעיקר את דגל ההתיישבות אך גם דוגלת בשקיפות שלטונית. ממלאת מקום בוועדת הכספים ומגיעה לדיונים שעוסקים ביו״ש. סטרוק עיכבה לא אחת העברות תקציביות בועדה שמיועדות למינהל האזרחי ביו""ש ובהם ליעוץ המשפטי של המינהל בין היתר בשל תלונותיה על התנהלות המינהל.",,,,,,,"הרב דב ליאור/חבר בוועד רבני תקומה, לשעבר רבה של קריית ארבע–חברון",משה מאירסדורף /יועץ תקשורת,,,,,,,,,,,
רונן שובל,הבית היהודי,34,נשוי,4,בית באפרת,לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו: מחזיק רק בדירתו (חמישה חדרים באפרת).,,"מייסד תנועת ""אם תרצו"", דוקטור לפילוסופיה פוליטית, בנו של יזם ההיטק אדוארדו שובל שגם תרם לו בפריימריס. בתחילת 2014 מונה כיו""ר ""ביתנו העולמי""-התנועה העולמית של ""ישראל ביתנו"" ופרש מתפקיד זה בנובמבר 2014. ליברל כלכלי, מאמין בשוק חופשי ותומך בפירוק קרטלים. למרות זאת התבטא נגד פירוק מונופול הגז. לטענתו מהלך כזה הוא בגדר הפרת התחייבויות ליזמים.",הון עצמי,אדוארדו שובל/יזם הייטק ואביו של רונן,"קרן לביאד/עו""ד",,,,,,,,,,,,,,,,
איימן עודה,הרשימה המשותפת,40,נשוי,3,דירה בחיפה,"לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו:
מחזיק רק בדירת מגוריו",,"ראש הרשימה הערבית המשותפת ומזכ""ל חד""ש מאז 2006, עורך דין וחבר לשעבר במועצת העיר חיפה. עודה הוא סוציאליסט שמתכנן לפעול במשכן למען שוויון בין שני הלאומים. הוא כותב מאמרי דעה ביומון ""אל–איתיחאד"", ונלחם נגד הצטרפות ערבים לצה""ל או לשירות הלאומי. ממנהיגי המאבק להכרה בכפרים הבלתי מוכרים בנגב. הוא דוגל ב""לא הסתגרות לאומית אלא הושטת יד לשותפות יהודית ערבית רחבה כדי לעשות את השינוי הגדול הנדרש"".",,,,,,,ראמז ג'ראיסי /לשעבר ראש עיריית נצרת,"מוחמד ברכה /יו""ר חד״ש","תמר גוז'נסקי/לשעבר חברת כנסת מטעם חד""ש","חנא סוויד/חבר כנסת מטעם חד""ש",,,,,,,,,
מסעוד גנאים,הרשימה המשותפת,49,נשוי,4,בית בסחנין,"לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו:
מחזיק רק בבית מגוריו","תמך בחשיפת תיקי המניות, נעדר משאר ההצבעות","נציג התנועה האיסלאמית ברשימה. מקורב לראשי החמאס. קידם אג'נדה להגנה על פליטים ומהגרים, לצד מיגור האבטלה ביישובים הערביים. קרוב לליבו נושא האבטלה בקרב מורים ומורות ערביים והאבטלה ביישובים הערביים.",,,,,,,השייח ח'מאד אבו דעאבס/יושב ראש הפלג הדרומי של התנועה האיסלאמית בישראל,"מנסור עבאס/סגן יו""ר התנועה האיסלאמית","מאזן גנאים/ראש עיריית סחנין, ראש ועד הערים הערביות וקרוב משפחה",,,,,,,,,,
ג'מאל זחאלקה,הרשימה המשותפת,60,נשוי,5,בית בכפר קרע,"לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו:
בבעלותו בית מגוריו",נעדר משלוש הצבעות ותמך באחת,"זחאלקה מרבה לבקר בקטאר — המממנת הראשית של חמאס. הוא חבר בוועדה אחת: חוק, חוקה ומשפט ועוסק בעיקר בעניינים פנים ערביים כמו העלאת גיל הנישואין. נוכחותו במשכן ממוצעת",,,,,,,"עזמי בשארה /מייסד ויו״ר בל""ד",סמי עלי/מזכיר הסיעה ועוזרו לשעבר,אמילי מואטי/יועצת תקשורת חיצונית,,,,,,,,,,
אחמד טיבי,הרשימה המשותפת,56,נשוי,2,בית בטייבה,לא,"נעדר משתי הצבעות, תמך בחשיפת ועדת השרים ובגילויי אינטרסים של נבחרי ציבור","סגן יו״ר הכנסת וחבר קבוע ונוכח בוועדת הכספים. טיבי שותף להצעות חוק צרכניות, אך מקדיש את רוב מרצו לנושאים מדיניים.",,,,,,,"עו""ד אוסמה אלסעדי/מזכ״ל תע""ל",אחמד מוהנא/יועץ קרוב,,,,,,,,,,,
עאידה תומא סלימאן,הרשימה המשותפת,51,אלמנה,2,דירה בעכו,"לא חשפה את הונה השלם. הסכימה לחשוף את נכסי הנדל״ן שברשותה:
בבעלותה 50% מדירת מגוריה",,"עורכת העיתון היומי הקומוניסטי ""אל–אתיחאד"", תנסה להילחם בתופעת האלימות בחברה הערבית ולקדם את התרבות הערבית מתוך המשכן.",,,,,,,"תמר גוז'נסקי/לשעבר חברת כנסת מטעם חד""ש",,,,,,,,,,,,
עבד אל חכים חאג' יחיא,הרשימה המשותפת,50,נשוי,4,דירה בטייבה,לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו: מחזיק רק בדירת מגוריו,,"חבר התנועה האיסלאמית, בוגר הטכניון ולשעבר ראש עיריית טייבה. מתמקד בנושאי תכנון ובנייה ברשויות המקומיות, ושואף לשנות את המצב שבו רוב הרשויות במגזר הערבי נקלעות לתוכניות הבראה.",,,,,,,"חנא סוויד/חבר כנסת מטעם חד""ש",מאמון עבד אלחי/ראש עיריית טירה,עו״ד עאדל באדיר /ראש עיריית כפר קאסם,,,,,,,,,,
חנין זועבי,הרשימה המשותפת,45,רווקה,,בבית הוריה בנצרת,"לא חשפה את הונה השלם. לפי הצהרתה אין לה בעלות על נכסי נדל""ן","תמכה בשלוש הצעות, נעדרה מההצבעה לתיעוד חופשי של ישיבות מועצה","זועבי מקורבת כיום לבכירי המגזר הערבי וגם למקביליהם בעזה. מחודש יולי היא מושעית מהכנסת בעקבות העלבת שוטר ערבי. למרות הפרובוקציות שבהן התמחתה, כמו ההצטרפות לשיט המרמרה, שקוממו עליה את רוב הישראלים, בהצעות החוק שלה דואגת זועבי לנשים, לילדים ולבני נוער במצוקה. היא פעלה ראשונה להעלאת גיל הנישואין ונלחמת באלימות נגד נשים.",,,,,,,"עזמי בשארה /מייסד בל""ד","עווד עבד–אלפתאח /מזכ״ל בל""ד",,,,,,,,,,,
דב חנין,הרשימה המשותפת,57,נשוי,3,דירה בתל אביב,"לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו:
דירת מגורים בתל אביב; חצי מדירה בערד; חצי מדירה בתל אביב",תמך בשתי הצעות ונעדר משתי הצבעות (חשיפת תיקי המניות והאינטרסים של נבחרי הציבור),"מתוך המדבר האופוזיציוני מתמקד חנין, משיאני הנוכחות במשכן, בפעילות למען איכות הסביבה ושוויון חברתי–כלכלי —בעיקר כחבר בוועדת הפנים של הכנסת ובמליאה.",,,,,,,"עמית ברכה/מנכ""ל עמותת אדם טבע ודין",ניר פפאי/ראש אגף שטחים פתוחים בחברה להגנת הטבע,,,,,,,,,,,
טלב אבו ערער,הרשימה המשותפת,47,נשוי,10,בית בערערה בנגב,"לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו:
מחזיק רק בבית מגוריו",נעדר מכלל ההצבעות בנושא,"ראש מועצת ערערה לשעבר, יזם דיונים על מצוקת הדיור בקרב זוגות צעירים, בפרט במגזר הבדואי, ועל הכרה ביישובים הבלתי מוכרים. הדיונים לא הבשילו לכדי הישגים של ממש. נשוי לשתי נשים",,,,,,,"שייח איברהים צרצור /חבר כנסת מטעם רע""ם–תע""ל, לשעבר ראש הפלג הדרומי של התנועה האיסלאמית","ג'מיל אבו ראס/יו""ר המרחב של המשולש הדרומי של ההסתדרות",,,,,,,,,,,
יוסף ג'בארין,הרשימה המשותפת,43,נשוי,3,דירה באום אל פאחם,"לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו:
מחזיק רק בדירת מגוריו",,מרצה פורה למשפט זכויות אדם ולחינוך במכללת תל חי ובאוניברסיטת חיפה. בכנסת ישאף לקדם את חלוקת משאבי המדינה בצורה שוויונית כלפי כלל אזרחיה.,,,,,,,"ד""ר עפו אגבאריה/לשעבר ח""כ מטעם חד""ש",,,,,,,,,,,,
באסל גטאס,הרשימה המשותפת,58,נשוי,1,"מגורים בשכירות בבית צפאפא, ירושלים","לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו:
בית בכפר ראמה","תמך בשתי הצעות, נעדר משתיים אחרות (חשיפת ועדת השרים והאינטרסים של נבחרי הציבור)","בוגר תוכנית פולברייט ולשעבר איש עסקים מצליח במגזר הערבי ופעיל חברתי מוביל. גטאס פעל בכנסת היוצאת למען שקיפות, זכויות בעלי חיים וזכויות פליטים, וניסה לקדם את האינטרסים של מגזרו.",,,,,,,נאביל ארמלי/שותף עסקי,אבנר סטפק/מבעלי בית ההשקעות מיטב דש,"ג'וליה זאהר/אשת עסקים, מנכ""לית חברת אגס ירוק",,,,,,,,,,
יאיר לפיד,יש עתיד,51,נשוי,3,בית בתל אביב,חשף את הונו: כ-10.4 מיליון שקל: בית ברמת אביב בשווי 6.5 מיליון שקל; תכנית חיסכון: 2.5 מיליון שקל; הפנסיה וקופות הגמל: כ-1.1 מיליון שקל; מכונית סוזוקי ומשכתנא בגובה 324 אלף שקל,"התנגד לשלוש הצעות, נעדר מההצבעה לחקיקת חוק שיאפשר תיעוד חופשי של ישיבות מועצה","במינוי המפתיע שלו למשרד האוצר, התפקיד הניהולי או הציבורי הראשון שלו מעולם, לפיד דווקא קיבל הזדמנות ואשראי מהציבור ואולם בקדנציה שלו לא הצליח לפיד להוביל רפורמות חשובות ולחולל שינויים. בדיעבד הטעויות הגדולות שלו היו הבריתות שכרת עם יו""ר ההסתדרות בזמנו עופר עיני ועם יו""ר הבית היהודי נפתלי בנט. בריתות אלה חיסלו כל אפשרות לשינוי ממשי. כדי לחולל רפורמה אין ברירה אלא להיכנס לעימותים ולפיד נמנע מעימותים עם כולם - ההסתדרות, הנמלים, המתנחלים, הבנקים והטייקונים – ורק עם עם הצוות הפנימי שלו הוא דווקא התעמת. בכוורת של לפיד טוענים כי הקדנציה הקצרה שלו באוצר לא התאפיינה בריבוי רפורמות, כיוון שבילה זמן רב בהדיפת דרישותיהן הסקטוריאליות של השותפות הקואליציוניות. 
גם את הדגל שנשא במערכת הבחירות הקודמת – דאגה למעמד הביניים – לא הצליח השר לפיד לממש, למעשה הוא הוביל תכנית קיצוצים וגזירות שפגעה במעמד הביניים, פגיעה שלא היתה כמותה במשך שנים רבות, ובעיקר פגעה בשכבות החלשות. גם בעוד נושאים הצהיר לפיד הצהרות ללא כיסוי. כך למשל הצהיר כי יפעל נגד הטייקונים אך לא עשה דבר, אמר שילחם בחרדים אך המשיך להזרים מיליארדים, יצא כנגד העברות כספים מתחת לשולחן אך חתם בעצמו על העברת 30 מיליון שקל לעמותת איילים בפטור ממכרז ועל העברות הכספים להתנחלויות. אף שהודיע כי הוא תומך בשקיפות שוב ושוב, את הצהרת הונו חשף רק לפני הבחירות ובעודו מדשדש בסקרים - ונעלמה ממנה דירה נוספת שהחזיק ברמת אביב אותה מכר בהיותו שר האוצר. מתי? לא ידוע - לפיד מסרב לנקוב במועד, 
בחודשים האחרונים טרם פוטר הוא שם את כל יהבו האישי והפוליטי על תוכנית מע""מ 0 שהגה יחד עם שני יועציו העיקריים, שגם הם אינם כלכלנים, הלל קוברינסקי ואורי שני, למרות ביקורת חריפה מצד כל אנשי המקצוע. עם זאת בסופה של הקדנציה קידם לפיד טיפול בשני נושאים חשובים: דו""ח גרמן על מערכת הבריאות וטיפול בקק""ל. 
